6.33,170.23
6.34,168.70
6.35,171.25
6.36,169.72
6.37,171.25
6.38,170.23
6.39,170.23
6.40,168.70
6.41,170.74
6.42,170.74
6.44,171.25
6.45,170.74
6.46,171.76
6.47,171.76
6.48,169.21
6.49,171.25
6.50,169.72
6.51,170.74
6.52,169.72
6.53,172.27
6.54,172.27
6.55,169.21
6.56,172.27
6.57,172.27
6.58,171.25
6.59,170.74
6.60,170.74
6.61,170.74
6.62,169.72
6.63,172.78
6.65,170.74
6.66,172.27
6.67,170.74
6.68,171.25
6.69,172.27
6.70,172.78
6.71,174.31
6.72,173.29
6.73,173.29
6.74,173.29
6.77,171.25
6.78,173.29
6.79,173.29
6.80,174.31
6.81,172.78
6.82,171.76
6.83,174.82
6.84,173.29
6.85,174.82
6.86,173.29
6.87,173.29
6.88,174.31
6.89,174.82
6.90,173.29
6.91,174.31
6.92,173.80
6.93,173.80
6.94,174.82
6.95,175.33
6.96,175.33
6.98,176.86
6.99,175.33
7.00,174.31
7.01,175.33
7.02,174.31
7.03,176.35
7.04,174.82
7.05,174.82
7.06,175.84
7.07,174.31
7.09,175.84
7.10,174.82
7.11,177.37
7.12,175.84
7.13,175.84
7.14,175.33
7.15,174.82
7.16,174.82
7.17,175.84
7.18,174.82
7.19,174.82
7.20,175.84
7.21,177.37
7.22,176.35
7.23,174.82
7.24,175.84
7.25,175.84
7.26,176.35
7.27,176.86
7.28,174.82
7.30,174.82
7.31,176.35
7.32,177.37
7.33,175.84
7.34,177.37
7.35,175.84
7.36,174.82
7.37,177.37
7.38,176.86
7.39,174.82
7.40,177.37
7.41,177.37
7.42,177.88
7.43,174.82
7.44,176.86
7.45,175.33
7.46,175.33
7.47,176.86
7.48,176.86
7.49,175.33
7.51,177.37
7.52,176.35
7.53,175.84
7.54,176.86
7.55,178.39
7.56,177.37
7.57,176.35
7.58,179.41
7.59,177.37
7.60,177.37
7.62,175.84
7.63,176.86
7.64,178.39
7.65,177.88
7.66,177.37
7.67,178.39
7.68,175.84
7.69,178.39
7.70,176.86
7.71,175.84
7.73,178.39
7.74,177.37
7.75,175.33
7.76,176.86
7.77,175.84
7.78,176.86
7.79,179.41
7.80,177.88
7.81,179.41
7.82,176.86
7.84,177.88
7.85,180.43
7.86,180.94
7.87,180.43
7.88,180.43
7.89,180.43
7.90,180.43
7.91,182.47
7.92,181.45
7.93,183.49
7.94,185.02
7.95,185.02
7.96,184.00
7.97,185.02
7.98,187.06
7.99,189.61
8.00,188.08
8.01,193.18
8.02,190.63
8.03,193.69
8.06,197.26
8.07,195.73
8.08,199.81
8.09,200.83
8.10,200.83
8.11,200.83
8.12,205.93
8.13,203.38
8.14,204.91
8.15,211.03
8.17,209.50
8.18,213.07
8.19,213.58
8.20,214.60
8.21,218.17
8.22,219.70
8.23,218.17
8.24,217.15
8.25,221.74
8.26,222.25
8.27,223.78
8.28,226.33
8.29,227.86
8.30,225.31
8.31,229.39
8.32,230.41
8.33,229.39
8.34,232.45
8.35,232.45
8.36,231.43
8.38,236.53
8.39,236.53
8.40,237.04
8.41,235.51
8.42,238.57
8.43,237.04
8.44,238.57
8.45,240.61
8.46,241.63
8.47,240.10
8.49,243.67
8.50,241.12
8.51,244.18
8.52,243.67
8.53,245.71
8.54,245.20
8.55,245.71
8.56,246.73
8.57,247.24
8.58,247.75
8.60,248.77
8.61,249.79
8.62,249.28
8.63,249.28
8.64,249.79
8.65,251.83
8.66,252.34
8.67,253.36
8.68,251.83
8.69,252.85
8.71,254.89
8.72,253.87
8.73,251.83
8.74,253.36
8.75,253.36
8.76,255.40
8.77,255.91
8.78,255.40
8.79,254.89
8.80,254.89
8.82,258.46
8.83,254.89
8.84,256.42
8.85,257.44
8.86,257.95
8.87,257.95
8.88,260.50
8.89,259.48
8.90,261.01
8.91,261.01
8.92,262.54
8.93,262.54
8.94,262.54
8.95,261.52
8.96,262.03
8.97,261.52
8.98,265.09
8.99,264.07
9.00,262.54
9.01,265.60
9.03,264.58
9.04,266.62
9.05,266.62
9.06,270.19
9.07,270.19
9.08,269.68
9.09,268.66
9.10,270.70
9.11,271.21
9.12,271.21
9.14,275.29
9.15,274.27
9.16,275.29
9.17,273.76
9.18,276.31
9.19,276.31
9.20,275.80
9.21,279.88
9.22,279.88
9.23,278.35
9.25,282.43
9.26,280.90
9.27,284.98
9.28,284.47
9.29,282.94
9.30,284.47
9.31,289.06
9.32,287.53
9.33,286.00
9.34,289.06
9.37,291.61
9.38,294.16
9.39,294.16
9.40,292.63
9.41,296.20
9.42,296.20
9.43,296.71
9.44,301.81
9.45,300.79
9.46,301.81
9.47,299.77
9.48,303.85
9.49,303.85
9.50,303.85
9.51,308.95
9.52,310.48
9.53,308.44
9.54,314.05
9.55,311.50
9.56,313.54
9.58,315.07
9.59,317.11
